Series Name,Series Code,Country Name,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Afghanistan,..,..,0.001849646,0.003609042,0.005282097,..,0.005029416,0.004909715,0.004795317,0.022079691,0.026889758,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Albania,..,..,2.027492802,2.919536619,3.350292352,4.065147629,5.062738707,5.75292813,6.527599404,7.596854658,8.227068256,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Algeria,..,..,1.357578396,2.248284117,2.428309557,2.597126783,3.000771406,3.264623716,4.006346574,5.584923796,6.919541673,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,American Samoa,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Andorra,..,..,25.85001688,29.1651305,31.45031897,33.08675271,34.33511996,35.00972001,35.89385301,37.91723286,39.82447324,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Angola,..,..,0.087046064,0.079253328,0.076729781,0.078377681,0.098518169,0.103774201,0.306045088,0.672968878,0.523521411,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Antigua and Barbuda,..,..,5.841896214,18.5561993,8.160902411,6.806425265,14.67401677,17.38845363,11.83019262,10.89063623,9.985551626,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Argentina,..,..,7.85042465,8.772380304,9.977251823,11.22554546,12.53095176,15.08223447,15.57170188,16.26343491,16.93874298,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Armenia,..,..,0.463444353,1.343865581,3.157959383,5.417223324,7.142041595,8.165718482,9.144970325,9.577593598,10.12594267,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Aruba,..,..,18.15203663,18.53714331,18.91492859,..,..,18.65689771,18.56310004,18.28875049,..,..
