Series Name,Series Code,Country Name,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Afghanistan,0.308579017,0.140808415,..,0.018514383,0.058525636,0.04641394,0.301821963,0.313465639,0.325860972,0.343677097,0.348891629,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Albania,1.160469085,4.61995166,10.88481687,11.51947601,10.57304383,10.74370863,9.866913677,8.861518603,7.400421861,7.091628008,7.649090163,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Algeria,3.094546631,5.552829748,8.590924037,7.080624513,7.885884021,8.101419587,8.5478619,7.990240509,7.76075312,8.041627955,8.240573775,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,American Samoa,11.69118272,17.82274608,18.22866458,18.49053249,18.69293263,..,18.13960238,18.12743587,17.89587852,18.0056898,..,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Andorra,39.44524958,52.31731372,46.73686053,48.15977828,48.99559731,49.31740833,48.90250128,48.69095408,47.70501416,47.99258802,47.42899869,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Angola,0.677385879,0.466070566,0.624075832,1.601862982,1.43802863,0.790293001,1.000671213,1.001088972,1.298335869,1.24857986,1.294584033,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Antigua and Barbuda,25.81332989,49.3251597,44.52307584,43.2792584,41.63791226,40.25319902,37.22844087,36.82058121,21.90796783,21.78127246,24.26464246,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Argentina,9.277375293,21.39173148,24.55593462,24.405913,24.55578589,23.87141237,23.01374109,23.31232604,23.49696344,23.89549413,23.3847284,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Armenia,15.79825627,17.33972715,21.04458523,20.21121546,19.98652942,19.80159373,19.65877657,19.43346796,19.19483644,18.44362222,17.7663173,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Aruba,30.10877261,41.93356666,37.95093937,36.18687018,34.48920736,..,35.16174402,34.00996978,33.83898444,33.68980354,..,..
